_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-22,PGB:00257,M1,1,0,PaGenBase,36,Cell-specific: granulocytes mac1+gr1+,,-22,29,23,21160,79,177,19,11,2.3,12655|12796|14134|14289|17002|17394|18054|18602|20201|20202|20305|66107|68891|73988|76905|78892|320148|380924|433470,Chil3|Camp|Fcnb|Fpr2|Ltf|Mmp8|Ngp|Padi4|S100a8|S100a9|Ccl6|Wfdc21|Cd177|4930438A08Rik|Lrg1|Crispld2|Trem6l|Olfm4|AA467197,-19,0
1,-17,PGB:00030,M1,1,0,PaGenBase,36,Tissue-specific: bone marrow,,-17,24,19,21160,80,177,16,9,2.2,12796|13586|13861|14134|14289|16819|17394|17395|18054|19074|20201|20202|20558|68891|69189|213002,Camp|Ear1|Epx|Fcnb|Fpr2|Lcn2|Mmp8|Mmp9|Ngp|Prg2|S100a8|S100a9|Slfn4|Cd177|Mcemp1|Ifitm6,-15,0
1,-14,PGB:00223,M1,1,0,PaGenBase,36,Tissue-specific: bone,,-14,25,17,21160,63,177,13,7.3,2,12655|13861|14134|14289|17394|17395|18054|19074|20201|20555|20558|68891|69189,Chil3|Epx|Fcnb|Fpr2|Mmp8|Mmp9|Ngp|Prg2|S100a8|Slfn1|Slfn4|Cd177|Mcemp1,-12,0
1,-8.6,PGB:00261,M1,1,0,PaGenBase,36,Cell-specific: osteoclasts,,-8.6,14,11,21160,86,177,10,5.6,1.7,12655|12796|16819|17394|17395|18054|20201|20202|27226|66775,Chil3|Camp|Lcn2|Mmp8|Mmp9|Ngp|S100a8|S100a9|Pla2g7|Hacd4,-6.2,0
1,-4.5,PGB:00008,M1,1,0,PaGenBase,36,Tissue-specific: spleen,,-4.5,5.7,6,21160,188,177,9,5.1,1.7,12771|12796|18733|19743|27405|208154|231805|242248|320148,Ccr3|Camp|Pirb|Rhag|Abcg3|Btla|Pilra|Bank1|Trem6l,-2.3,0
1,-3.6,PGB:00266,M1,1,0,PaGenBase,36,Cell-specific: mega erythrocyte progenitor,,-3.6,13,6.8,21160,36,177,4,2.3,1.1,18770|19743|213435|432628,Pklr|Rhag|Mylk3|Mfsd2b,-1.5,0
1,-3.2,PGB:00285,M1,1,0,PaGenBase,36,Cell-specific: cd4+ T cell,,-3.2,17,6.8,21160,21,177,3,1.7,0.97,12487|12504|241230,Cd28|Cd4|St8sia6,-1.1,0
1,-2.3,PGB:00277,M1,1,0,PaGenBase,36,Cell-specific: macrophage unstimulated,,-2.3,4.5,3.7,21160,133,177,5,2.8,1.2,11501|14289|17132|18574|328830,Adam8|Fpr2|Maf|Pde1b|A530064D06Rik,-0.31,0
